player_id,player_name,tweet_text,platform,date
1,Lionel Messi,Lionel Messi performance was average,Twitter,1/2/2025
2,Cristiano Ronaldo,Cristiano Ronaldo performance was average,Twitter,1/3/2025
3,Kylian Mbappe,Kylian Mbappe gave a शानदार assist,Twitter,1/4/2025
4,Neymar Jr,Neymar Jr showed great skill,Twitter,1/5/2025
5,Kevin De Bruyne,Kevin De Bruyne performance was average,Twitter,1/6/2025
6,Erling Haaland,Erling Haaland dominated the midfield,Twitter,1/7/2025
7,Mohamed Salah,Mohamed Salah showed great skill,Twitter,1/8/2025
8,Harry Kane,Harry Kane was outstanding today,Twitter,1/9/2025
9,Robert Lewandowski,Robert Lewandowski played an amazing match,Twitter,1/10/2025
10,Vinicius Jr,Vinicius Jr needs improvement,Twitter,1/11/2025
11,Luka Modric,Luka Modric showed great skill,Twitter,1/12/2025
12,Karim Benzema,Karim Benzema missed a big chance,Twitter,1/13/2025
13,Bruno Fernandes,Bruno Fernandes performance was average,Twitter,1/14/2025
14,Pedri,Pedri played an amazing match,Twitter,1/15/2025
15,Jude Bellingham,Jude Bellingham dominated the midfield,Twitter,1/16/2025
16,Antoine Griezmann,Antoine Griezmann needs improvement,Twitter,1/17/2025
17,Son Heung-min,Son Heung-min missed a big chance,Twitter,1/18/2025
18,Bukayo Saka,Bukayo Saka showed great skill,Twitter,1/19/2025
19,Marcus Rashford,Marcus Rashford gave a शानदार assist,Twitter,1/20/2025
20,Phil Foden,Phil Foden dominated the midfield,Twitter,1/21/2025
21,Bernardo Silva,Bernardo Silva looked very sharp today,Twitter,1/22/2025
22,Casemiro,Casemiro struggled in defense,Twitter,1/23/2025
23,Joshua Kimmich,Joshua Kimmich looked very sharp today,Twitter,1/24/2025
24,Sergio Ramos,Sergio Ramos struggled in defense,Twitter,1/25/2025
25,Virgil van Dijk,Virgil van Dijk struggled in defense,Twitter,1/26/2025
26,Trent Alexander-Arnold,Trent Alexander-Arnold scored a brilliant goal,Twitter,1/27/2025
27,Achraf Hakimi,Achraf Hakimi showed great skill,Twitter,1/28/2025
28,Joao Felix,Joao Felix looked very sharp today,Twitter,1/29/2025
29,Rodri,Rodri gave a शानदार assist,Twitter,1/30/2025
30,Gavi,Gavi played an amazing match,Twitter,1/31/2025
31,Alphonso Davies,Alphonso Davies needs improvement,Twitter,2/1/2025
32,Riyad Mahrez,Riyad Mahrez missed a big chance,Twitter,2/2/2025
33,Raheem Sterling,Raheem Sterling was disappointing today,Twitter,2/3/2025
34,Jack Grealish,Jack Grealish gave a शानदार assist,Twitter,2/4/2025
35,Ilkay Gundogan,Ilkay Gundogan was disappointing today,Twitter,2/5/2025
36,Toni Kroos,Toni Kroos struggled in defense,Twitter,2/6/2025
37,Marco Verratti,Marco Verratti scored a brilliant goal,Twitter,2/7/2025
